"setting","simulation","Bayesian_epsilon","Bayesian_CI_upper","Bayesian_coverage","Bayesian_power","frequentist_epsilon","frequentist_CI_upper","frequentist_coverage","frequentist_power","n_sample","n_chains","n_iterations","n_simulations","BF_alternative","timestamp","seed"
1,20,0.311579486259767,0.1,TRUE,TRUE,0.26431819745158,0.374219900060105,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 02:10:50",125
2,20,0.3054728195931,0.0600000000000001,TRUE,TRUE,0.259211468786883,0.527432121128637,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 02:10:50",125
1,21,0.314619486259767,0.0600000000000001,TRUE,TRUE,0.268975364531023,0.271070983362518,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 02:10:50",125
2,21,0.304486152926434,0.04,TRUE,TRUE,0.265775364531023,0.47913702372689,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 02:10:50",125
1,22,0.308459486259767,0.08,TRUE,TRUE,0.247931457277103,0.447643100694814,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 02:10:50",125
2,22,0.2573128195931,0,FALSE,TRUE,0.25535007046193,0.3188814328859,FALSE,FALSE,50,2,500,50,"greater","2026-04-29 02:10:50",125
1,23,0.314539486259767,0.02,TRUE,TRUE,0.268790322742872,0.379906056195537,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 02:10:50",125
2,23,0.2932328195931,0.0600000000000001,TRUE,TRUE,0.260800297860876,0.606868149769053,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 02:10:50",125
1,24,0.313366152926434,0.08,TRUE,TRUE,0.268232518126986,0.356590236861272,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 02:10:50",125
2,24,0.271099486259767,0.0600000000000001,TRUE,TRUE,0.23311951108048,0.525326991371814,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 02:10:50",125
1,25,0.313579486259767,0.04,TRUE,TRUE,0.259349338053149,0.394708226543432,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 02:10:50",125
2,25,0.278059486259767,0.04,TRUE,TRUE,0.225775364531023,0.474270901498653,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 02:10:50",125
1,26,0.3141928195931,0.0600000000000001,TRUE,TRUE,0.265960233576375,0.484885438026897,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 02:10:50",125
2,26,0.306139486259767,0.0600000000000001,TRUE,TRUE,0.260180988336326,0.518184567373025,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 02:10:50",125
